cod;nome;período;valor
31;MG;1989;450
32;ES;1989;75
33;RJ;1989;254
35;SP;1989;1192
41;PR;1989;432
42;SC;1989;264
43;RS;1989;715
50;MS;1989;79
51;MT;1989;51
52;GO;1989;154
53;DF;1989;65
11;RO;1989;47
12;AC;1989;17
13;AM;1989;35
14;RR;1989;5
15;PA;1989;89
16;AP;1989;7
17;TO;1989;20
21;MA;1989;32
22;PI;1989;33
23;CE;1989;100
23;CE;1990;111
25;PB;1990;85
26;PE;1990;189
27;AL;1990;35
28;SE;1990;11
29;BA;1990;93
31;MG;1990;482
32;ES;1990;85
33;RJ;1990;297
53;DF;1990;73
52;GO;1990;104
51;MT;1990;46
50;MS;1990;81
43;RS;1990;703
42;SC;1990;327
41;PR;1990;459
35;SP;1990;1345
11;RO;1990;50
12;AC;1990;13
13;AM;1990;28
14;RR;1990;4
15;PA;1990;88
16;AP;1990;4
17;TO;1990;9
21;MA;1990;30
22;PI;1990;28
24;RN;1990;65
32;ES;1991;101
35;SP;1991;1383
41;PR;1991;468
42;SC;1991;336
43;RS;1991;793
50;MS;1991;69
51;MT;1991;52
52;GO;1991;183
53;DF;1991;92
11;RO;1991;46
12;AC;1991;16
13;AM;1991;33
14;RR;1991;18
15;PA;1991;111
16;AP;1991;10
17;TO;1991;13
21;MA;1991;52
22;PI;1991;22
23;CE;1991;132
24;RN;1991;74
25;PB;1991;70
26;PE;1991;233
27;AL;1991;42
28;SE;1991;42
29;BA;1991;97
31;MG;1991;494
33;RJ;1991;204
22;PI;1992;30
21;MA;1992;34
17;TO;1992;17
16;AP;1992;10
15;PA;1992;115
14;RR;1992;8
13;AM;1992;40
12;AC;1992;9
11;RO;1992;48
53;DF;1992;79
52;GO;1992;194
51;MT;1992;59
50;MS;1992;93
43;RS;1992;820
42;SC;1992;309
41;PR;1992;482
35;SP;1992;1447
33;RJ;1992;182
32;ES;1992;81
31;MG;1992;548
29;BA;1992;116
28;SE;1992;79
27;AL;1992;52
26;PE;1992;191
25;PB;1992;50
24;RN;1992;47
23;CE;1992;128
23;CE;1993;170
21;MA;1993;43
17;TO;1993;13
16;AP;1993;11
15;PA;1993;106
14;RR;1993;12
13;AM;1993;45
12;AC;1993;19
11;RO;1993;50
53;DF;1993;96
52;GO;1993;203
51;MT;1993;61
50;MS;1993;126
43;RS;1993;747
42;SC;1993;308
41;PR;1993;455
35;SP;1993;1581
33;RJ;1993;255
32;ES;1993;98
31;MG;1993;522
29;BA;1993;142
28;SE;1993;34
27;AL;1993;59
26;PE;1993;238
25;PB;1993;48
24;RN;1993;65
22;PI;1993;48
25;PB;1994;73
11;RO;1994;59
12;AC;1994;14
13;AM;1994;48
14;RR;1994;11
15;PA;1994;88
16;AP;1994;9
17;TO;1994;13
21;MA;1994;30
22;PI;1994;42
23;CE;1994;139
24;RN;1994;81
26;PE;1994;248
27;AL;1994;97
28;SE;1994;40
29;BA;1994;174
31;MG;1994;595
32;ES;1994;89
33;RJ;1994;242
35;SP;1994;1663
41;PR;1994;503
42;SC;1994;332
43;RS;1994;834
50;MS;1994;119
51;MT;1994;57
52;GO;1994;229
53;DF;1994;103
53;DF;1995;105
11;RO;1995;42
12;AC;1995;9
13;AM;1995;63
14;RR;1995;16
15;PA;1995;111
16;AP;1995;13
17;TO;1995;16
21;MA;1995;45
22;PI;1995;55
23;CE;1995;180
24;RN;1995;85
25;PB;1995;83
26;PE;1995;312
27;AL;1995;53
28;SE;1995;39
29;BA;1995;161
31;MG;1995;597
32;ES;1995;101
33;RJ;1995;324
35;SP;1995;1758
41;PR;1995;565
42;SC;1995;376
43;RS;1995;956
50;MS;1995;136
51;MT;1995;109
52;GO;1995;284
53;DF;1996;118
52;GO;1996;229
51;MT;1996;125
50;MS;1996;128
43;RS;1996;950
42;SC;1996;379
41;PR;1996;610
35;SP;1996;1732
33;RJ;1996;379
32;ES;1996;112
31;MG;1996;596
29;BA;1996;182
28;SE;1996;45
27;AL;1996;55
26;PE;1996;281
25;PB;1996;39
24;RN;1996;82
23;CE;1996;262
22;PI;1996;48
21;MA;1996;51
17;TO;1996;23
16;AP;1996;23
15;PA;1996;158
14;RR;1996;19
13;AM;1996;70
12;AC;1996;10
11;RO;1996;37
53;DF;1997;116
31;MG;1997;641
29;BA;1997;211
28;SE;1997;39
27;AL;1997;44
26;PE;1997;313
25;PB;1997;63
24;RN;1997;82
23;CE;1997;217
22;PI;1997;56
21;MA;1997;48
17;TO;1997;14
16;AP;1997;13
15;PA;1997;132
14;RR;1997;16
33;RJ;1997;381
13;AM;1997;79
12;AC;1997;13
11;RO;1997;40
32;ES;1997;116
52;GO;1997;251
51;MT;1997;103
50;MS;1997;128
43;RS;1997;985
42;SC;1997;414
41;PR;1997;612
35;SP;1997;1796
11;RO;1998;65
12;AC;1998;16
13;AM;1998;80
14;RR;1998;20
15;PA;1998;183
16;AP;1998;13
17;TO;1998;29
21;MA;1998;70
22;PI;1998;67
23;CE;1998;265
24;RN;1998;66
25;PB;1998;55
26;PE;1998;274
27;AL;1998;78
28;SE;1998;33
29;BA;1998;147
31;MG;1998;593
32;ES;1998;124
41;PR;1998;665
35;SP;1998;1747
33;RJ;1998;378
53;DF;1998;88
52;GO;1998;203
51;MT;1998;132
50;MS;1998;112
43;RS;1998;1087
42;SC;1998;399
51;MT;1999;124
11;RO;1999;62
12;AC;1999;7
13;AM;1999;54
14;RR;1999;27
15;PA;1999;96
16;AP;1999;11
17;TO;1999;32
21;MA;1999;69
22;PI;1999;48
23;CE;1999;304
24;RN;1999;86
25;PB;1999;58
26;PE;1999;271
27;AL;1999;67
28;SE;1999;38
29;BA;1999;154
31;MG;1999;508
32;ES;1999;91
33;RJ;1999;316
35;SP;1999;1547
41;PR;1999;595
42;SC;1999;386
43;RS;1999;1093
50;MS;1999;145
52;GO;1999;265
53;DF;1999;76
26;PE;2000;275
12;AC;2000;27
13;AM;2000;77
14;RR;2000;22
15;PA;2000;116
16;AP;2000;16
17;TO;2000;38
21;MA;2000;71
22;PI;2000;74
23;CE;2000;269
24;RN;2000;85
25;PB;2000;37
11;RO;2000;76
27;AL;2000;72
28;SE;2000;48
29;BA;2000;202
31;MG;2000;602
32;ES;2000;106
33;RJ;2000;392
35;SP;2000;1413
41;PR;2000;586
42;SC;2000;426
43;RS;2000;1022
50;MS;2000;173
51;MT;2000;142
52;GO;2000;327
53;DF;2000;86
52;GO;2001;331
11;RO;2001;76
12;AC;2001;29
13;AM;2001;94
14;RR;2001;17
15;PA;2001;146
16;AP;2001;30
17;TO;2001;47
21;MA;2001;109
22;PI;2001;114
23;CE;2001;376
24;RN;2001;116
25;PB;2001;45
53;DF;2001;79
26;PE;2001;269
27;AL;2001;96
28;SE;2001;69
29;BA;2001;241
31;MG;2001;800
32;ES;2001;116
33;RJ;2001;457
35;SP;2001;1637
41;PR;2001;664
42;SC;2001;463
43;RS;2001;1035
50;MS;2001;138
51;MT;2001;144
27;AL;2002;84
53;DF;2002;90
52;GO;2002;381
51;MT;2002;153
50;MS;2002;168
43;RS;2002;1031
42;SC;2002;437
41;PR;2002;579
35;SP;2002;1555
33;RJ;2002;462
32;ES;2002;128
31;MG;2002;803
29;BA;2002;241
28;SE;2002;80
26;PE;2002;257
25;PB;2002;74
24;RN;2002;105
23;CE;2002;461
22;PI;2002;119
21;MA;2002;125
17;TO;2002;50
16;AP;2002;37
15;PA;2002;140
14;RR;2002;19
13;AM;2002;81
12;AC;2002;22
11;RO;2002;44
25;PB;2003;80
11;RO;2003;53
12;AC;2003;26
13;AM;2003;92
14;RR;2003;20
15;PA;2003;137
16;AP;2003;37
17;TO;2003;72
21;MA;2003;90
22;PI;2003;139
23;CE;2003;419
24;RN;2003;148
33;RJ;2003;357
26;PE;2003;297
27;AL;2003;68
28;SE;2003;81
29;BA;2003;298
31;MG;2003;948
32;ES;2003;150
53;DF;2003;86
52;GO;2003;328
51;MT;2003;162
50;MS;2003;187
43;RS;2003;1035
42;SC;2003;405
41;PR;2003;593
35;SP;2003;1553
33;RJ;2004;397
32;ES;2004;151
31;MG;2004;906
29;BA;2004;259
28;SE;2004;80
27;AL;2004;94
26;PE;2004;293
25;PB;2004;93
24;RN;2004;115
23;CE;2004;459
22;PI;2004;159
21;MA;2004;99
17;TO;2004;59
16;AP;2004;38
15;PA;2004;136
14;RR;2004;27
13;AM;2004;98
12;AC;2004;26
11;RO;2004;63
53;DF;2004;99
52;GO;2004;334
51;MT;2004;159
50;MS;2004;192
43;RS;2004;1051
42;SC;2004;422
41;PR;2004;678
35;SP;2004;1530
42;SC;2005;449
11;RO;2005;64
12;AC;2005;19
13;AM;2005;91
14;RR;2005;27
15;PA;2005;166
16;AP;2005;41
17;TO;2005;68
21;MA;2005;116
22;PI;2005;148
23;CE;2005;537
24;RN;2005;161
25;PB;2005;106
26;PE;2005;309
27;AL;2005;78
28;SE;2005;81
29;BA;2005;360
31;MG;2005;994
32;ES;2005;166
33;RJ;2005;427
35;SP;2005;1624
41;PR;2005;669
43;RS;2005;1078
50;MS;2005;194
51;MT;2005;152
52;GO;2005;336
53;DF;2005;89
17;TO;2006;72
16;AP;2006;25
21;MA;2006;159
22;PI;2006;181
15;PA;2006;160
14;RR;2006;34
13;AM;2006;100
12;AC;2006;25
23;CE;2006;493
24;RN;2006;145
11;RO;2006;62
25;PB;2006;130
26;PE;2006;294
27;AL;2006;95
28;SE;2006;76
29;BA;2006;388
31;MG;2006;1022
32;ES;2006;157
33;RJ;2006;404
35;SP;2006;1722
41;PR;2006;594
42;SC;2006;384
43;RS;2006;1153
50;MS;2006;194
51;MT;2006;169
52;GO;2006;293
53;DF;2006;108
51;MT;2007;153
53;DF;2007;103
52;GO;2007;303
50;MS;2007;188
43;RS;2007;1101
42;SC;2007;455
41;PR;2007;629
35;SP;2007;1708
33;RJ;2007;354
32;ES;2007;136
31;MG;2007;1028
29;BA;2007;424
28;SE;2007;97
27;AL;2007;109
26;PE;2007;379
25;PB;2007;133
24;RN;2007;133
23;CE;2007;525
22;PI;2007;208
21;MA;2007;160
17;TO;2007;85
16;AP;2007;27
15;PA;2007;180
14;RR;2007;43
13;AM;2007;130
12;AC;2007;35
11;RO;2007;42
23;CE;2008;545
17;TO;2008;84
16;AP;2008;31
15;PA;2008;217
14;RR;2008;31
13;AM;2008;148
27;AL;2008;106
52;GO;2008;378
12;AC;2008;33
11;RO;2008;76
33;RJ;2008;339
28;SE;2008;108
41;PR;2008;596
51;MT;2008;180
43;RS;2008;1161
24;RN;2008;147
42;SC;2008;488
29;BA;2008;380
25;PB;2008;156
35;SP;2008;1864
31;MG;2008;1050
26;PE;2008;364
32;ES;2008;151
50;MS;2008;182
53;DF;2008;117
21;MA;2008;179
22;PI;2008;217
22;PI;2009;207
29;BA;2009;377
16;AP;2009;26
13;AM;2009;152
42;SC;2009;519
51;MT;2009;190
52;GO;2009;307
27;AL;2009;111
50;MS;2009;205
12;AC;2009;31
21;MA;2009;156
31;MG;2009;1123
32;ES;2009;150
25;PB;2009;166
28;SE;2009;111
35;SP;2009;1976
41;PR;2009;648
15;PA;2009;188
33;RJ;2009;321
11;RO;2009;85
14;RR;2009;32
17;TO;2009;79
26;PE;2009;328
24;RN;2009;144
53;DF;2009;129
43;RS;2009;1112
23;CE;2009;501
43;RS;2010;1036
42;SC;2010;530
24;RN;2010;137
14;RR;2010;34
11;RO;2010;82
41;PR;2010;588
33;RJ;2010;509
22;PI;2010;201
51;MT;2010;161
50;MS;2010;188
25;PB;2010;158
15;PA;2010;188
53;DF;2010;148
52;GO;2010;315
32;ES;2010;160
31;MG;2010;1102
21;MA;2010;208
29;BA;2010;432
23;CE;2010;488
16;AP;2010;30
13;AM;2010;162
27;AL;2010;85
12;AC;2010;41
26;PE;2010;285
35;SP;2010;1964
28;SE;2010;129
17;TO;2010;87
16;AP;2011;37
25;PB;2011;163
41;PR;2011;593
53;DF;2011;100
13;AM;2011;188
28;SE;2011;125
15;PA;2011;222
11;RO;2011;78
17;TO;2011;92
14;RR;2011;34
35;SP;2011;2047
32;ES;2011;162
24;RN;2011;177
42;SC;2011;520
50;MS;2011;211
27;AL;2011;104
23;CE;2011;553
31;MG;2011;1258
29;BA;2011;432
21;MA;2011;218
52;GO;2011;338
12;AC;2011;41
